"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 09 20:21:47 EDT 2023","Sun Apr 09 20:21:54 EDT 2023","7019","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"passed","Sun Apr 09 21:54:08 EDT 2023","Sun Apr 09 21:54:16 EDT 2023","7155","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"passed","Wed Apr 05 22:54:42 EDT 2023","Wed Apr 05 22:54:49 EDT 2023","6543","","Sign up date","","","","Verify current date is selected in sign up form",""
"broken","Sun Apr 09 21:13:26 EDT 2023","Sun Apr 09 21:13:35 EDT 2023","9687","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
"passed","Tue Apr 11 20:05:16 EDT 2023","Tue Apr 11 20:05:33 EDT 2023","16402","","Hotels Signup","","","","TC-25 Verify user can submit feedback after completing the feedback form",""
"broken","Mon Apr 10 17:25:32 EDT 2023","Mon Apr 10 17:25:53 EDT 2023","20732","","Hotels Signup","","","","TC-24 Verify error is displayed when user submits the empty feedback form",""
"failed","Sat Apr 15 19:13:58 EDT 2023","Sat Apr 15 19:14:16 EDT 2023","18366","","List property","","","","TC-29 Verify ""List your Property"" flow",""
"broken","Mon Apr 17 18:43:23 EDT 2023","Mon Apr 17 18:43:41 EDT 2023","18365","","Hotels Signup","","","","TC-20 Verify error message for invalid data in SignUp form",""
"passed","Sun Apr 09 12:37:19 EDT 2023","Sun Apr 09 12:37:34 EDT 2023","14489","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"broken","Sun Apr 09 09:34:54 EDT 2023","Sun Apr 09 09:35:08 EDT 2023","14232","","Hotels Signup","","","","Verify error message for invalid data in SignUp form",""
"passed","Sun Apr 09 17:20:50 EDT 2023","Sun Apr 09 17:20:58 EDT 2023","8418","","Hotel Travlers","","","","TC-28 Verify Child-age dropdowns are same as number of Children selected",""
